; 1pctCO2
; hectordata 0.0.0.9000
; commit fc16ecc44b072f5
; date Tue Feb 13 14:51:37 2024
Date,CO2_constrain
1745,276.9859975
1746,276.9859975
1747,276.9859975
1748,276.9859975
1749,276.9859975
1750,276.9859975
1751,276.9859975
1752,276.9859975
1753,276.9859975
1754,276.9859975
1755,276.9859975
1756,276.9859975
1757,276.9859975
1758,276.9859975
1759,276.9859975
1760,276.9859975
1761,276.9859975
1762,276.9859975
1763,276.9859975
1764,276.9859975
1765,276.9859975
1766,276.9859975
1767,276.9859975
1768,276.9859975
1769,276.9859975
1770,276.9859975
1771,276.9859975
1772,276.9859975
1773,276.9859975
1774,276.9859975
1775,276.9859975
1776,276.9859975
1777,276.9859975
1778,276.9859975
1779,276.9859975
1780,276.9859975
1781,276.9859975
1782,276.9859975
1783,276.9859975
1784,276.9859975
1785,276.9859975
1786,276.9859975
1787,276.9859975
1788,276.9859975
1789,276.9859975
1790,276.9859975
1791,276.9859975
1792,276.9859975
1793,276.9859975
1794,276.9859975
1795,276.9859975
1796,276.9859975
1797,276.9859975
1798,276.9859975
1799,276.9859975
1800,276.9859975
1801,279.75585747499997
1802,282.55341604975
1803,285.3789502102475
1804,288.23273971235
1805,291.1150671094735
1806,294.02621778056823
1807,296.9664799583739
1808,299.93614475795766
1809,302.9355062055372
1810,305.9648612675926
1811,309.0245098802685
1812,312.1147549790712
1813,315.2359025288619
1814,318.3882615541506
1815,321.5721441696921
1816,324.787865611389
1817,328.0357442675029
1818,331.3161017101779
1819,334.6292627272797
1820,337.9755553545525
1821,341.35531090809803
1822,344.768864017179
1823,348.2165526573508
1824,351.6987181839243
1825,355.21570536576354
1826,358.76786241942125
1827,362.35554104361546
1828,365.97909645405156
1829,369.6388874185921
1830,373.335276292778
1831,377.0686290557058
1832,380.8393153462628
1833,384.64770849972547
1834,388.49418558472274
1835,392.37912744056996
1836,396.3029187149757
1837,400.26594790212545
1838,404.2686073811467
1839,408.31129345495816
1840,412.3944063895077
1841,416.51835045340283
1842,420.68353395793685
1843,424.89036929751626
1844,429.1392729904914
1845,433.4306657203963
1846,437.76497237760026
1847,442.1426221013763
1848,446.5640483223901
1849,451.02968880561394
1850,455.53998569367013
1851,460.09538555060686
1852,464.6963394061129
1853,469.343302800174
1854,474.0367358281758
1855,478.7771031864575
1856,483.5648742183221
1857,488.4005229605053
1858,493.2845281901104
1859,498.2173734720115
1860,503.19954720673167
1861,508.2315426787989
1862,513.313858105587
1863,518.4469966866428
1864,523.6314666535093
1865,528.8677813200443
1866,534.1564591332448
1867,539.4980237245773
1868,544.893003961823
1869,550.3419340014412
1870,555.8453533414557
1871,561.4038068748703
1872,567.0178449436189
1873,572.6880233930551
1874,578.4149036269857
1875,584.1990526632555
1876,590.0410431898881
1877,595.9414536217871
1878,601.9008681580049
1879,607.9198768395848
1880,613.9990756079808
1881,620.1390663640606
1882,626.3404570277012
1883,632.6038615979783
1884,638.929900213958
1885,645.3191992160976
1886,651.7723912082587
1887,658.2901151203412
1888,664.8730162715445
1889,671.52174643426
1890,678.2369638986025
1891,685.0193335375886
1892,691.8695268729647
1893,698.7882221416942
1894,705.7761043631112
1895,712.8338654067423
1896,719.9622040608097
1897,727.1618261014179
1898,734.4334443624319
1899,741.7777788060564
1900,749.1955565941169
1901,756.6875121600581
1902,764.2543872816586
1903,771.8969311544753
1904,779.6159004660201
1905,787.4120594706802
1906,795.286180065387
1907,803.2390418660409
1908,811.2714322847013
1909,819.3841466075484
1910,827.5779880736238
1911,835.85376795436
1912,844.2123056339037
1913,852.6544286902428
1914,861.1809729771452
1915,869.7927827069166
1916,878.4907105339859
1917,887.2756176393257
1918,896.1483738157189
1919,905.1098575538762
1920,914.1609561294149
1921,923.302565690709
1922,932.5355913476162
1923,941.8609472610923
1924,951.2795567337032
1925,960.7923523010403
1926,970.4002758240507
1927,980.1042785822913
1928,989.9053213681141
1929,999.8043745817953
1930,1009.8024183276133
1931,1019.9004425108893
1932,1030.0994469359982
1933,1040.4004414053584
1934,1050.804445819412
1935,1061.312490277606
1936,1071.925615180382
1937,1082.6448713321859
1938,1093.4713200455078
1939,1104.4060332459628
1940,1115.4500935784226
1941,1126.6045945142066
1942,1137.870640459349
1943,1149.2493468639423
1944,1160.7418403325817
1945,1172.3492587359076
1946,1184.0727513232669
1947,1195.9134788364993
1948,1207.8726136248642
1949,1219.9513397611129
1950,1232.1508531587242
1951,1244.4723616903113
1952,1256.9170853072146
1953,1269.4862561602868
1954,1282.1811187218896
1955,1295.0029299091084
1956,1307.9529592081997
1957,1321.0324888002815
1958,1334.2428136882843
1959,1347.5852418251673
1960,1361.061094243419
1961,1374.6717051858532
1962,1388.4184222377116
1963,1402.3026064600888
1964,1416.3256325246898
1965,1430.4888888499365
1966,1444.793777738436
1967,1459.2417155158205
1968,1473.8341326709785
1969,1488.5724739976883
1970,1503.4581987376653
1971,1518.492780725042
1972,1533.6777085322922
1973,1549.0144856176155
1974,1564.5046304737916
1975,1580.1496767785293
1976,1595.9511735463147
1977,1611.910685281778
1978,1628.0297921345957
1979,1644.3100900559416
1980,1660.7531909565012
1981,1677.360722866066
1982,1694.134330094727
1983,1711.0756733956741
1984,1728.186430129631
1985,1745.4682944309272
1986,1762.9229773752363
1987,1780.5522071489888
1988,1798.3577292204786
1989,1816.3413065126836
1990,1834.5047195778104
1991,1852.8497667735885
1992,1871.3782644413243
1993,1890.0920470857377
1994,1908.9929675565952
1995,1928.082897232161
1996,1947.3637262044826
1997,1966.8373634665274
1998,1986.5057371011928
1999,2006.3707944722046
2000,2026.434502416927
2001,2046.6988474410962
2002,2067.165835915507
2003,2087.8374942746623
2004,2108.715869217409
2005,2129.803027909583
2006,2151.1010581886785
2007,2172.6120687705657
2008,2194.3381894582712
2009,2216.281571352854
2010,2238.444387066382
2011,2260.8288309370464
2012,2283.437119246417
2013,2306.2714904388813
2014,2329.33420534327
2015,2352.6275473967025
2016,2376.1538228706695
2017,2399.9153610993762
2018,2423.9145147103704
2019,2448.1536598574735
2020,2472.635196456049
2021,2497.3615484206093
2022,2522.3351639048155
2023,2547.5585155438635
2024,2573.034100699302
2025,2598.764441706295
2026,2624.752086123358
2027,2650.999606984592
2028,2677.5096030544373
2029,2704.284699084982
2030,2731.327546075832
2031,2758.64082153659
2032,2786.227229751956
2033,2814.089502049476
2034,2842.2303970699704
2035,2870.6527010406703
2036,2899.359228051077
2037,2928.3528203315877
2038,2957.636348534904
2039,2987.2127120202526
2040,3017.084839140455
2041,3047.2556875318596
2042,3077.7282444071784
2043,3108.5055268512506
2044,3139.590582119763
2045,3170.98648794096
2046,3202.69635282037
2047,3234.7233163485735
2048,3267.0705495120596
2049,3299.74125500718
2050,3332.738667557252
2051,3366.0660542328246
2052,3399.7267147751527
2053,3433.7239819229044
2054,3468.0612217421335
2055,3502.741833959555
2056,3537.7692522991506
2057,3573.1469448221424
2058,3608.878414270364
2059,3644.9671984130673
2060,3681.4168703971977
2061,3718.2310391011697
2062,3755.413349492181
2063,3792.9674829871037
2064,3830.8971578169744
2065,3869.206129395144
2066,3907.898190689096
2067,3946.9771725959868
2068,3986.4469443219464
2069,4026.311413765166
2070,4066.574527902818
