; abruptx0p5CO2
; hectordata 0.0.0.9000
; commit 5029dde85a7ddb2
; date Wed Nov  8 16:54:02 2023
Date,CO2_constrain
1745,276.9859975
1746,276.9859975
1747,276.9859975
1748,276.9859975
1749,276.9859975
1750,276.9859975
1751,276.9859975
1752,276.9859975
1753,276.9859975
1754,276.9859975
1755,276.9859975
1756,276.9859975
1757,276.9859975
1758,276.9859975
1759,276.9859975
1760,276.9859975
1761,276.9859975
1762,276.9859975
1763,276.9859975
1764,276.9859975
1765,276.9859975
1766,276.9859975
1767,276.9859975
1768,276.9859975
1769,276.9859975
1770,276.9859975
1771,276.9859975
1772,276.9859975
1773,276.9859975
1774,276.9859975
1775,276.9859975
1776,276.9859975
1777,276.9859975
1778,276.9859975
1779,276.9859975
1780,276.9859975
1781,276.9859975
1782,276.9859975
1783,276.9859975
1784,276.9859975
1785,276.9859975
1786,276.9859975
1787,276.9859975
1788,276.9859975
1789,276.9859975
1790,276.9859975
1791,276.9859975
1792,276.9859975
1793,276.9859975
1794,276.9859975
1795,276.9859975
1796,276.9859975
1797,276.9859975
1798,276.9859975
1799,276.9859975
1800,138.49299875
1801,138.49299875
1802,138.49299875
1803,138.49299875
1804,138.49299875
1805,138.49299875
1806,138.49299875
1807,138.49299875
1808,138.49299875
1809,138.49299875
1810,138.49299875
1811,138.49299875
1812,138.49299875
1813,138.49299875
1814,138.49299875
1815,138.49299875
1816,138.49299875
1817,138.49299875
1818,138.49299875
1819,138.49299875
1820,138.49299875
1821,138.49299875
1822,138.49299875
1823,138.49299875
1824,138.49299875
1825,138.49299875
1826,138.49299875
1827,138.49299875
1828,138.49299875
1829,138.49299875
1830,138.49299875
1831,138.49299875
1832,138.49299875
1833,138.49299875
1834,138.49299875
1835,138.49299875
1836,138.49299875
1837,138.49299875
1838,138.49299875
1839,138.49299875
1840,138.49299875
1841,138.49299875
1842,138.49299875
1843,138.49299875
1844,138.49299875
1845,138.49299875
1846,138.49299875
1847,138.49299875
1848,138.49299875
1849,138.49299875
1850,138.49299875
1851,138.49299875
1852,138.49299875
1853,138.49299875
1854,138.49299875
1855,138.49299875
1856,138.49299875
1857,138.49299875
1858,138.49299875
1859,138.49299875
1860,138.49299875
1861,138.49299875
1862,138.49299875
1863,138.49299875
1864,138.49299875
1865,138.49299875
1866,138.49299875
1867,138.49299875
1868,138.49299875
1869,138.49299875
1870,138.49299875
1871,138.49299875
1872,138.49299875
1873,138.49299875
1874,138.49299875
1875,138.49299875
1876,138.49299875
1877,138.49299875
1878,138.49299875
1879,138.49299875
1880,138.49299875
1881,138.49299875
1882,138.49299875
1883,138.49299875
1884,138.49299875
1885,138.49299875
1886,138.49299875
1887,138.49299875
1888,138.49299875
1889,138.49299875
1890,138.49299875
1891,138.49299875
1892,138.49299875
1893,138.49299875
1894,138.49299875
1895,138.49299875
1896,138.49299875
1897,138.49299875
1898,138.49299875
1899,138.49299875
1900,138.49299875
1901,138.49299875
1902,138.49299875
1903,138.49299875
1904,138.49299875
1905,138.49299875
1906,138.49299875
1907,138.49299875
1908,138.49299875
1909,138.49299875
1910,138.49299875
1911,138.49299875
1912,138.49299875
1913,138.49299875
1914,138.49299875
1915,138.49299875
1916,138.49299875
1917,138.49299875
1918,138.49299875
1919,138.49299875
1920,138.49299875
1921,138.49299875
1922,138.49299875
1923,138.49299875
1924,138.49299875
1925,138.49299875
1926,138.49299875
1927,138.49299875
1928,138.49299875
1929,138.49299875
1930,138.49299875
1931,138.49299875
1932,138.49299875
1933,138.49299875
1934,138.49299875
1935,138.49299875
1936,138.49299875
1937,138.49299875
1938,138.49299875
1939,138.49299875
1940,138.49299875
1941,138.49299875
1942,138.49299875
1943,138.49299875
1944,138.49299875
1945,138.49299875
1946,138.49299875
1947,138.49299875
1948,138.49299875
1949,138.49299875
1950,138.49299875
1951,138.49299875
1952,138.49299875
1953,138.49299875
1954,138.49299875
1955,138.49299875
1956,138.49299875
1957,138.49299875
1958,138.49299875
1959,138.49299875
1960,138.49299875
1961,138.49299875
1962,138.49299875
1963,138.49299875
1964,138.49299875
1965,138.49299875
1966,138.49299875
1967,138.49299875
1968,138.49299875
1969,138.49299875
1970,138.49299875
1971,138.49299875
1972,138.49299875
1973,138.49299875
1974,138.49299875
1975,138.49299875
1976,138.49299875
1977,138.49299875
1978,138.49299875
1979,138.49299875
1980,138.49299875
1981,138.49299875
1982,138.49299875
1983,138.49299875
1984,138.49299875
1985,138.49299875
1986,138.49299875
1987,138.49299875
1988,138.49299875
1989,138.49299875
1990,138.49299875
1991,138.49299875
1992,138.49299875
1993,138.49299875
1994,138.49299875
1995,138.49299875
1996,138.49299875
1997,138.49299875
1998,138.49299875
1999,138.49299875
2000,138.49299875
2001,138.49299875
2002,138.49299875
2003,138.49299875
2004,138.49299875
2005,138.49299875
2006,138.49299875
2007,138.49299875
2008,138.49299875
2009,138.49299875
2010,138.49299875
2011,138.49299875
2012,138.49299875
2013,138.49299875
2014,138.49299875
2015,138.49299875
2016,138.49299875
2017,138.49299875
2018,138.49299875
2019,138.49299875
2020,138.49299875
2021,138.49299875
2022,138.49299875
2023,138.49299875
2024,138.49299875
2025,138.49299875
2026,138.49299875
2027,138.49299875
2028,138.49299875
2029,138.49299875
2030,138.49299875
2031,138.49299875
2032,138.49299875
2033,138.49299875
2034,138.49299875
2035,138.49299875
2036,138.49299875
2037,138.49299875
2038,138.49299875
2039,138.49299875
2040,138.49299875
2041,138.49299875
2042,138.49299875
2043,138.49299875
2044,138.49299875
2045,138.49299875
2046,138.49299875
2047,138.49299875
2048,138.49299875
2049,138.49299875
2050,138.49299875
2051,138.49299875
2052,138.49299875
2053,138.49299875
2054,138.49299875
2055,138.49299875
2056,138.49299875
2057,138.49299875
2058,138.49299875
2059,138.49299875
2060,138.49299875
2061,138.49299875
2062,138.49299875
2063,138.49299875
2064,138.49299875
2065,138.49299875
2066,138.49299875
2067,138.49299875
2068,138.49299875
2069,138.49299875
2070,138.49299875
2071,138.49299875
2072,138.49299875
2073,138.49299875
2074,138.49299875
2075,138.49299875
2076,138.49299875
2077,138.49299875
2078,138.49299875
2079,138.49299875
2080,138.49299875
2081,138.49299875
2082,138.49299875
2083,138.49299875
2084,138.49299875
2085,138.49299875
2086,138.49299875
2087,138.49299875
2088,138.49299875
2089,138.49299875
2090,138.49299875
2091,138.49299875
2092,138.49299875
2093,138.49299875
2094,138.49299875
2095,138.49299875
2096,138.49299875
2097,138.49299875
2098,138.49299875
2099,138.49299875
2100,138.49299875
2101,138.49299875
2102,138.49299875
2103,138.49299875
2104,138.49299875
2105,138.49299875
2106,138.49299875
2107,138.49299875
2108,138.49299875
2109,138.49299875
2110,138.49299875
2111,138.49299875
2112,138.49299875
2113,138.49299875
2114,138.49299875
2115,138.49299875
2116,138.49299875
2117,138.49299875
2118,138.49299875
2119,138.49299875
2120,138.49299875
2121,138.49299875
2122,138.49299875
2123,138.49299875
2124,138.49299875
2125,138.49299875
2126,138.49299875
2127,138.49299875
2128,138.49299875
2129,138.49299875
2130,138.49299875
2131,138.49299875
2132,138.49299875
2133,138.49299875
2134,138.49299875
2135,138.49299875
2136,138.49299875
2137,138.49299875
2138,138.49299875
2139,138.49299875
2140,138.49299875
2141,138.49299875
2142,138.49299875
2143,138.49299875
2144,138.49299875
2145,138.49299875
2146,138.49299875
2147,138.49299875
2148,138.49299875
2149,138.49299875
2150,138.49299875
2151,138.49299875
2152,138.49299875
2153,138.49299875
2154,138.49299875
2155,138.49299875
2156,138.49299875
2157,138.49299875
2158,138.49299875
2159,138.49299875
2160,138.49299875
2161,138.49299875
2162,138.49299875
2163,138.49299875
2164,138.49299875
2165,138.49299875
2166,138.49299875
2167,138.49299875
2168,138.49299875
2169,138.49299875
2170,138.49299875
2171,138.49299875
2172,138.49299875
2173,138.49299875
2174,138.49299875
2175,138.49299875
2176,138.49299875
2177,138.49299875
2178,138.49299875
2179,138.49299875
2180,138.49299875
2181,138.49299875
2182,138.49299875
2183,138.49299875
2184,138.49299875
2185,138.49299875
2186,138.49299875
2187,138.49299875
2188,138.49299875
2189,138.49299875
2190,138.49299875
2191,138.49299875
2192,138.49299875
2193,138.49299875
2194,138.49299875
2195,138.49299875
2196,138.49299875
2197,138.49299875
2198,138.49299875
2199,138.49299875
2200,138.49299875
2201,138.49299875
2202,138.49299875
2203,138.49299875
2204,138.49299875
2205,138.49299875
2206,138.49299875
2207,138.49299875
2208,138.49299875
2209,138.49299875
2210,138.49299875
2211,138.49299875
2212,138.49299875
2213,138.49299875
2214,138.49299875
2215,138.49299875
2216,138.49299875
2217,138.49299875
2218,138.49299875
2219,138.49299875
2220,138.49299875
2221,138.49299875
2222,138.49299875
2223,138.49299875
2224,138.49299875
2225,138.49299875
2226,138.49299875
2227,138.49299875
2228,138.49299875
2229,138.49299875
2230,138.49299875
2231,138.49299875
2232,138.49299875
2233,138.49299875
2234,138.49299875
2235,138.49299875
2236,138.49299875
2237,138.49299875
2238,138.49299875
2239,138.49299875
2240,138.49299875
2241,138.49299875
2242,138.49299875
2243,138.49299875
2244,138.49299875
2245,138.49299875
2246,138.49299875
2247,138.49299875
2248,138.49299875
2249,138.49299875
2250,138.49299875
2251,138.49299875
2252,138.49299875
2253,138.49299875
2254,138.49299875
2255,138.49299875
2256,138.49299875
2257,138.49299875
2258,138.49299875
2259,138.49299875
2260,138.49299875
2261,138.49299875
2262,138.49299875
2263,138.49299875
2264,138.49299875
2265,138.49299875
2266,138.49299875
2267,138.49299875
2268,138.49299875
2269,138.49299875
2270,138.49299875
2271,138.49299875
2272,138.49299875
2273,138.49299875
2274,138.49299875
2275,138.49299875
2276,138.49299875
2277,138.49299875
2278,138.49299875
2279,138.49299875
2280,138.49299875
2281,138.49299875
2282,138.49299875
2283,138.49299875
2284,138.49299875
2285,138.49299875
2286,138.49299875
2287,138.49299875
2288,138.49299875
2289,138.49299875
2290,138.49299875
2291,138.49299875
2292,138.49299875
2293,138.49299875
2294,138.49299875
2295,138.49299875
2296,138.49299875
2297,138.49299875
2298,138.49299875
2299,138.49299875
2300,138.49299875
